Data Source in SDW: http://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=165.YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_30Y
,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_30Y
,"Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve spot rate, 30-year maturity - Euro, provided by ECB"
Collection:,End of period (E)
Period\Unit:,[Percent per annum ]
2017-02-09,1.228092
2017-02-08,1.254349
2017-02-07,1.335651
2017-02-06,1.274803
2017-02-03,1.355098
2017-02-02,1.317780
2017-02-01,1.370163
2017-01-31,1.327428
2017-01-30,1.318236
2017-01-27,1.341571
2017-01-26,1.356593
2017-01-25,1.388461
2017-01-24,1.311346
2017-01-23,1.324696
2017-01-20,1.310994
2017-01-19,1.287427
2017-01-18,1.245185
2017-01-17,1.163201
2017-01-16,1.219650
2017-01-13,1.222923
2017-01-12,1.174655
2017-01-11,1.154014
2017-01-10,1.188758
2017-01-09,1.189078
2017-01-06,1.156608
2017-01-05,1.168027
2017-01-04,1.164941
2017-01-03,1.140937
2017-01-02,1.034288
2016-12-30,1.064496
2016-12-29,1.005902
2016-12-28,1.032092
2016-12-27,1.013544
2016-12-23,1.064466
2016-12-22,1.107665
2016-12-21,1.103737
2016-12-20,1.121739
2016-12-19,1.155957
2016-12-16,1.181627
2016-12-15,1.285662
2016-12-14,1.233860
2016-12-13,1.291430
2016-12-12,1.387230
2016-12-09,1.283522
2016-12-08,1.215685
2016-12-07,1.164791
2016-12-06,1.138551
2016-12-05,1.151470
2016-12-02,1.147498
2016-12-01,1.119003
2016-11-30,1.031272
2016-11-29,1.021788
2016-11-28,0.961372
2016-11-25,1.027598
2016-11-24,1.038847
2016-11-23,1.066439
2016-11-22,0.989135
2016-11-21,1.027305
2016-11-18,0.992336
2016-11-17,1.032199
2016-11-16,1.065458
2016-11-15,1.056251
2016-11-14,1.120653
2016-11-11,1.088416
2016-11-10,1.079703
2016-11-09,0.914047
2016-11-08,0.876743
2016-11-07,0.868444
2016-11-04,0.841292
2016-11-03,0.899150
2016-11-02,0.872475
2016-11-01,0.944465
2016-10-31,0.900051
2016-10-28,0.927813
2016-10-27,0.941717
2016-10-26,0.836551
2016-10-25,0.763052
2016-10-24,0.747476
2016-10-21,0.710107
2016-10-20,0.720452
2016-10-19,0.768804
2016-10-18,0.787498
2016-10-17,0.803200
2016-10-14,0.791066
2016-10-13,0.752118
2016-10-12,0.803323
2016-10-11,0.788750
2016-10-10,0.810026
2016-10-07,0.741180
2016-10-06,0.720904
2016-10-05,0.668510
2016-10-04,0.589299
2016-10-03,0.550024
2016-09-30,0.534953
2016-09-29,0.548776
2016-09-28,0.532277
2016-09-27,0.523680
2016-09-26,0.543727
2016-09-23,0.567912
2016-09-22,0.582278
2016-09-21,0.681659
2016-09-20,0.675009
2016-09-19,0.759270
2016-09-16,0.750200
2016-09-15,0.780648
2016-09-14,0.729394
2016-09-13,0.709289
2016-09-12,0.703504
2016-09-09,0.708037
2016-09-08,0.540864
2016-09-07,0.495329
2016-09-06,0.589577
2016-09-05,0.626736
2016-09-02,0.610271
2016-09-01,0.601620
2016-08-31,0.525765
2016-08-30,0.519399
2016-08-29,0.565552
2016-08-26,0.537559
2016-08-25,0.553076
2016-08-24,0.511085
2016-08-23,0.489278
2016-08-22,0.513223
2016-08-19,0.533623
2016-08-18,0.511923
2016-08-17,0.556133
2016-08-16,0.562049
2016-08-15,0.541091
2016-08-12,0.500197
2016-08-11,0.493161
2016-08-10,0.494593
2016-08-09,0.531926
2016-08-08,0.558622
2016-08-05,0.516274
2016-08-04,0.481132
2016-08-03,0.510925
2016-08-02,0.524943
2016-08-01,0.438747
2016-07-29,0.439310
2016-07-28,0.472529
2016-07-27,0.510561
2016-07-26,0.532730
2016-07-25,0.554824
2016-07-22,0.615787
2016-07-21,0.652643
2016-07-20,0.634624
2016-07-19,0.624598
2016-07-18,0.615031
2016-07-15,0.616901
2016-07-14,0.601880
2016-07-13,0.521195
2016-07-12,0.557471
2016-07-11,0.471400
2016-07-08,0.472014
2016-07-07,0.495621
2016-07-06,0.452713
2016-07-05,0.468887
2016-07-04,0.514523
2016-07-01,0.496997
2016-06-30,0.463296
2016-06-29,0.490871
2016-06-28,0.530451
2016-06-27,0.484333
2016-06-24,0.603955
2016-06-23,0.812845
2016-06-22,0.767506
2016-06-21,0.746845
2016-06-20,0.751790
2016-06-17,0.676757
2016-06-16,0.609080
2016-06-15,0.664545
2016-06-14,0.662604
2016-06-13,0.718719
2016-06-10,0.697237
2016-06-09,0.746021
2016-06-08,0.825174
2016-06-07,0.859049
2016-06-06,0.892992
2016-06-03,0.906105
2016-06-02,0.982278
2016-06-01,0.994975
2016-05-31,1.054929
2016-05-30,1.068222
2016-05-27,1.019091
2016-05-26,1.039101
2016-05-25,1.057849
2016-05-24,1.074078
2016-05-23,1.076593
2016-05-20,1.072389
2016-05-19,1.048510
2016-05-18,1.081927
2016-05-17,1.015232
2016-05-16,1.033066
2016-05-13,1.028750
2016-05-12,1.044754
2016-05-11,1.000577
2016-05-10,0.977862
2016-05-09,1.012982
2016-05-06,1.038738
2016-05-05,1.065883
2016-05-04,1.117508
2016-05-03,1.081189
2016-05-02,1.181043
2016-04-29,1.214932
2016-04-28,1.213251
2016-04-27,1.248222
2016-04-26,1.213627
2016-04-25,1.208402
2016-04-22,1.141261
2016-04-21,1.083983
2016-04-20,1.029603
2016-04-19,1.062591
2016-04-18,1.013701
